metric,n,mean,std,min,max
realized_flip_rate,3.0,0.0,0.0,0.0,0.0
best_val_accuracy,3.0,0.8530847758544163,0.0039011087064462994,0.8501997336884154,0.8575233022636485
best_val_macro_f1,3.0,0.7412249191733743,0.009326283289960146,0.7304558867134227,0.7466321270751598
best_val_ece,3.0,0.04834160397198801,0.008825976075105574,0.038673834718972185,0.05596807376839985
best_val_macro_auroc,3.0,0.9602426572199945,0.005473649957696954,0.9539283389583664,0.9636404042298645
best_val_aurc,3.0,0.04067936612384188,0.002179175817481299,0.03850170923004474,0.0428600576954812
test_uncal_accuracy,3.0,0.8520763187429855,0.005484530515317916,0.8457912457912458,0.8558922558922559
test_uncal_macro_f1,3.0,0.7329588658425975,0.02878655148117221,0.7020757422766931,0.7590465562781628
test_uncal_ece,3.0,0.03882680283117238,0.010551456535479441,0.02736170484562112,0.048129629286049955
test_uncal_macro_auroc,3.0,0.9583602800930823,0.007462088399580938,0.9499891347116064,0.9643138197051193
test_uncal_aurc,3.0,0.04880073104712454,0.0075660834160026546,0.04163487625955239,0.0567118811859276
test_cal_accuracy,3.0,0.8520763187429855,0.005484530515317916,0.8457912457912458,0.8558922558922559
test_cal_macro_f1,3.0,0.7329588658425975,0.02878655148117221,0.7020757422766931,0.7590465562781628
test_cal_ece,3.0,0.03888051194106421,0.01761753811227984,0.02083588676019148,0.056037397396684896
test_cal_macro_auroc,3.0,0.9583378519310167,0.007624133993312302,0.9497904714401445,0.9644375033496908
test_cal_aurc,3.0,0.05018281768565797,0.009456874805057715,0.041257302991302064,0.060093865742697414
test_cal_coverage_at_0_5,3.0,0.9618406285072951,0.010739280551205987,0.9494949494949495,0.969023569023569
test_cal_risk_at_0_5,3.0,0.13062255457652008,0.0089227001672477,0.12056737588652477,0.13759555246699096
