metric,n,mean,std,min,max
realized_flip_rate,3.0,0.051460823373173974,0.003322762262974197,0.04852020489470689,0.055065452475811044
best_val_accuracy,3.0,0.6717709720372836,0.004612651950915784,0.6691078561917443,0.6770972037283621
best_val_macro_f1,3.0,0.12423097251852389,0.016791421452513243,0.1145364408228389,0.14362003590989383
best_val_ece,3.0,0.3184104046449099,0.021605225553600976,0.2934628407583732,0.3308921438082557
best_val_macro_auroc,3.0,0.5684420742208957,0.13754705613364088,0.4096164518206345,0.6479492406444382
best_val_aurc,3.0,0.17132917228820263,0.018801041653960817,0.15617318080527368,0.1923682641552064
test_uncal_accuracy,3.0,0.6774410774410775,0.0011663641801810697,0.6767676767676768,0.6787878787878788
test_uncal_macro_f1,3.0,0.12235555848588092,0.012188687419376286,0.11531841652323581,0.13642984241117112
test_uncal_ece,3.0,0.3114244526885575,0.02043799934303568,0.2878246856458259,0.3232323232323232
test_uncal_macro_auroc,3.0,0.5850733363695784,0.12554470541170484,0.44129514437124595,0.6730044611113867
test_uncal_aurc,3.0,0.1686233422768609,0.02075860428004409,0.15227512623986186,0.19197873897455925
test_cal_accuracy,3.0,0.6774410774410775,0.0011663641801810697,0.6767676767676768,0.6787878787878788
test_cal_macro_f1,3.0,0.12235555848588092,0.012188687419376286,0.11531841652323581,0.13642984241117112
test_cal_ece,3.0,0.026831926005724174,0.03807669968988473,0.0022682539541713283,0.07069389139763033
test_cal_macro_auroc,3.0,0.5781641016632354,0.12793058069524083,0.43232552882277014,0.6714442937832091
test_cal_aurc,3.0,0.2398992222434704,0.10586916433611468,0.14048517503640334,0.35121724625002076
test_cal_coverage_at_0_5,3.0,0.9638608305274973,0.062594877669717,0.8915824915824916,1.0
test_cal_risk_at_0_5,3.0,0.3043603202213474,0.032687268055602924,0.2666163141993958,0.3232323232323232
