metric,n,mean,std,min,max
realized_flip_rate,5.0,0.048349459305634605,0.002980245661192068,0.0443938531587934,0.05179282868525897
best_val_accuracy,5.0,0.8338215712383489,0.007055372458982116,0.8268974700399467,0.844207723035952
best_val_macro_f1,5.0,0.7195022921595995,0.011458224178748262,0.7070827475271081,0.7346558190770623
best_val_ece,5.0,0.04037373982637764,0.006365611800021576,0.031594946603482964,0.04940287475182752
best_val_macro_auroc,5.0,0.9469780576006889,0.011712599651062347,0.9326094097986711,0.9604116126939226
best_val_aurc,5.0,0.061239298941044074,0.009952017855856483,0.04447537492349036,0.07026735884415536
test_uncal_accuracy,5.0,0.8320538720538719,0.007136141032586654,0.8222222222222222,0.8410774410774411
test_uncal_macro_f1,5.0,0.7144776488730988,0.013034496951668379,0.6999050423884652,0.7356673461592474
test_uncal_ece,5.0,0.04278118500003108,0.00768988798491341,0.03390521631899104,0.05213540220501444
test_uncal_macro_auroc,5.0,0.9464331616091846,0.01260664045008852,0.9339516708172945,0.9601126656428118
test_uncal_aurc,5.0,0.06229652713935312,0.009309230631228143,0.04630379476964221,0.07057249254530781
test_cal_accuracy,5.0,0.8320538720538719,0.007136141032586654,0.8222222222222222,0.8410774410774411
test_cal_macro_f1,5.0,0.7144776488730988,0.013034496951668379,0.6999050423884652,0.7356673461592474
test_cal_ece,5.0,0.03556982514432785,0.007540060099554845,0.027125762548510877,0.04611862769431939
test_cal_macro_auroc,5.0,0.946046208716063,0.012808415864743097,0.9328645842525651,0.9597343624092577
test_cal_aurc,5.0,0.0621726085761181,0.009265436992860213,0.04616608726201576,0.07001272432554939
test_cal_coverage_at_0_5,5.0,0.9480134680134681,0.00655312626300491,0.9387205387205387,0.9569023569023569
test_cal_risk_at_0_5,5.0,0.14487325180967148,0.007752456508079393,0.13127690100430411,0.1501779359430605
