metric,n,mean,std,min,max
realized_flip_rate,5.0,0.04795105293113261,0.0029021169684648736,0.04410927717700626,0.05122367672168469
best_val_accuracy,5.0,0.8364846870838882,0.005621792765002542,0.8268974700399467,0.8408788282290279
best_val_macro_f1,5.0,0.7171271484434371,0.00802005529781597,0.7083639562016415,0.730034765062379
best_val_ece,5.0,0.0425316402919283,0.006276474161435645,0.03352579383177066,0.04806583223941323
best_val_macro_auroc,5.0,0.9493902684109269,0.010894691971744174,0.934781148961158,0.9621108502869384
best_val_aurc,5.0,0.06119002139412444,0.00949153313133365,0.05102356767417962,0.0707294602507207
test_uncal_accuracy,5.0,0.831919191919192,0.00514171290742655,0.8249158249158249,0.8377104377104377
test_uncal_macro_f1,5.0,0.7105396069372899,0.023921740089547873,0.6748960354020592,0.7396194028974235
test_uncal_ece,5.0,0.04196515585035589,0.009253069786623538,0.03208850276991978,0.054779238391805596
test_uncal_macro_auroc,5.0,0.9520828292509043,0.01261642833342888,0.9367089639097704,0.9641711075843942
test_uncal_aurc,5.0,0.058716183696336154,0.01429259397175827,0.043971360387147634,0.08056367862149919
test_cal_accuracy,5.0,0.831919191919192,0.00514171290742655,0.8249158249158249,0.8377104377104377
test_cal_macro_f1,5.0,0.7105396069372899,0.023921740089547873,0.6748960354020592,0.7396194028974235
test_cal_ece,5.0,0.03560417909814854,0.007061530282374895,0.030263344125715578,0.04767026822976392
test_cal_macro_auroc,5.0,0.9520546057706575,0.012823043914402216,0.9365365900241657,0.9642438072995597
test_cal_aurc,5.0,0.05878344845531623,0.014468152517036249,0.043838161627640496,0.08023106919204076
test_cal_coverage_at_0_5,5.0,0.9376430976430976,0.010028923469969808,0.9245791245791246,0.9515151515151515
test_cal_risk_at_0_5,5.0,0.1401815648152139,0.010715151990153323,0.1270638908829863,0.15145081387119608
